"ID","Label","Prob_AD","Prob_CTL"
"ADCTL165","AD",0.559607918480258,0.440392081519742
"ADCTL166","CTL",0.152402545209448,0.847597454790552
"ADCTL167","AD",0.999923926922308,7.60730776923989e-05
"ADCTL168","CTL",2.70983502200991e-07,0.999999729016498
"ADCTL169","CTL",0.000143439235639648,0.99985656076436
"ADCTL170","AD",0.999996599776021,3.4002239792225e-06
"ADCTL171","AD",1,1.19677460051034e-16
"ADCTL172","AD",0.996276561395664,0.00372343860433614
"ADCTL173","AD",0.999724437927407,0.000275562072592629
"ADCTL174","AD",0.987619260096868,0.0123807399031317
"ADCTL175","CTL",0.0270771562273443,0.972922843772656
"ADCTL176","AD",0.971686928461047,0.0283130715389535
"ADCTL177","CTL",0.365409483073731,0.634590516926269
"ADCTL178","AD",0.988380898035209,0.0116191019647914
"ADCTL179","CTL",2.11091819630674e-12,0.999999999997889
"ADCTL180","CTL",0.00162805620229219,0.998371943797708
"ADCTL181","AD",0.999999842165128,1.57834872125386e-07
"ADCTL182","AD",0.999999993611086,6.38891408180034e-09
"ADCTL183","CTL",0.00656010626743714,0.993439893732563
"ADCTL184","CTL",0.438085622651294,0.561914377348706
"ADCTL185","CTL",0.00164536282842692,0.998354637171573
"ADCTL186","AD",0.977492935838997,0.0225070641610031
"ADCTL187","CTL",0.00383071306171267,0.996169286938287
"ADCTL188","AD",0.994517282084396,0.0054827179156035
"ADCTL189","AD",0.992483700861792,0.00751629913820818
"ADCTL190","AD",0.880416321705123,0.119583678294877
"ADCTL191","AD",0.997301890528743,0.00269810947125716
"ADCTL192","AD",0.999933192613009,6.68073869909401e-05
"ADCTL193","CTL",0.107413583954845,0.892586416045156
"ADCTL194","CTL",5.74038781903259e-05,0.99994259612181
"ADCTL195","CTL",0.00187559373066522,0.998124406269335
"ADCTL196","CTL",0.184229674656756,0.815770325343244
"ADCTL197","AD",0.798068704825971,0.201931295174029
"ADCTL198","CTL",0.0358001919608633,0.964199808039137
"ADCTL199","CTL",3.87244727246652e-08,0.999999961275527
"ADCTL200","AD",0.99999775528618,2.24471381999802e-06
"ADCTL201","CTL",0.000240597145060784,0.999759402854939
"ADCTL202","CTL",9.21609391841122e-11,0.999999999907839
"ADCTL203","CTL",1.46960865300937e-10,0.999999999853039
"ADCTL204","CTL",2.88030691790838e-14,0.999999999999971
"ADCTL205","CTL",5.81406513660367e-09,0.999999994185935
